Age,Gender,Income,Education,Work_Experience,Debt_Amount,Sleep_Hours,Favorite_Color
25.0,Male,35000.0,Bachelor,2,10000,7.5,Blue
32.0,Female,55000.0,Master,6,5000,6.0,Red
28.0,Male,42000.0,Bachelor,4,12000,8.0,Green
45.0,Male,85000.0,PhD,15,0,6.5,Blue
23.0,Female,28000.0,Bachelor,1,15000,7.0,Yellow
50.0,Male,90000.0,Master,20,2000,5.5,Black
37.06185567010309,Male,38000.0,Bachelor,3,8000,7.2,White
35.0,Female,60000.0,Master,8,0,6.8,Blue
40.0,Male,120000.0,PhD,12,50000,6.0,Red
29.0,Female,48000.0,Master,5,20000,7.0,Green
55.0,Male,95000.0,Master,25,0,6.0,Black
22.0,Male,22000.0,High School,0,0,9.0,Red
31.0,Female,58000.0,Bachelor,7,10000,7.5,Blue
42.0,Male,100000.0,PhD,15,5000,6.2,White
30.0,Female,50000.0,Master,5,8000,7.0,Pink
33.0,Male,62000.0,Bachelor,9,15000,6.5,Green
27.0,Female,40000.0,Bachelor,3,12000,7.8,Yellow
36.0,Male,70000.0,Master,10,5000,6.0,Blue
24.0,Female,30000.0,Bachelor,1,8000,8.2,Red
58.0,Male,110000.0,PhD,30,0,5.5,Black
26.0,Male,36000.0,Bachelor,3,9000,7.0,White
48.0,Female,88000.0,PhD,20,2000,6.5,Purple
34.0,Male,65000.0,Bachelor,10,18000,7.0,Green
39.0,Female,72000.0,Master,14,5000,6.8,Blue
22.0,Male,25000.0,Bachelor,0,20000,8.5,Red
29.0,Female,48000.0,Master,5,10000,7.2,Yellow
45.0,Male,92000.0,PhD,18,0,6.0,Black
31.0,Male,52000.0,Bachelor,6,12000,7.5,White
37.0,Female,68000.0,Master,12,6000,6.5,Pink
37.06185567010309,Female,44000.0,Bachelor,4,8000,7.8,Blue
41.0,Male,78000.0,Master,15,3000,6.2,Green
28.0,Female,41000.0,Bachelor,3,10000,7.5,Red
33.0,Male,60000.0,Bachelor,9,14000,7.0,Yellow
52.0,Female,98000.0,PhD,24,0,6.0,Purple
23.0,Male,26000.0,Bachelor,1,15000,8.0,Blue
47.0,Male,88000.0,Master,20,5000,6.5,Black
30.0,Female,55000.0,Master,6,8000,7.0,White
26.0,Male,38000.0,Bachelor,3,11000,7.5,Green
35.0,Female,64000.0,Master,10,2000,6.8,Pink
21.0,Male,20000.0,High School,0,0,9.0,Red
44.0,Male,84000.0,PhD,16,1000,6.2,Blue
29.0,Female,49000.0,Master,5,9000,7.0,Yellow
38.0,Male,72000.0,Bachelor,13,16000,6.5,Purple
55.0,Female,105000.0,PhD,28,0,6.0,Black
27.0,Male,42000.0,Bachelor,4,12000,7.5,White
32.0,Female,56000.0,Master,7,6000,6.8,Green
46.0,Male,89000.0,PhD,19,2000,6.2,Red
24.0,Female,32000.0,Bachelor,2,13000,8.0,Blue
36.0,Male,69000.0,Master,11,7000,6.5,Yellow
40.0,Female,75000.0,Master,14,3000,6.5,Purple
53.0,Male,96000.0,PhD,26,0,6.0,Black
28.0,Male,45000.0,Bachelor,5,10000,7.2,White
34.0,Female,62000.0,Master,9,5000,6.8,Blue
31.0,Male,54000.0,Bachelor,7,12000,7.5,Green
49.0,Female,91000.0,PhD,22,1000,6.2,Red
22.0,Male,24000.0,Bachelor,0,18000,8.5,Yellow
39.0,Male,74000.0,Master,15,4000,6.5,Blue
30.0,Female,53000.0,Master,6,8000,7.0,Pink
26.0,Male,39000.0,Bachelor,3,11000,7.5,Purple
51.0,Female,94000.0,PhD,25,0,6.0,Black
37.0,Male,71000.0,Master,12,6000,6.5,White
43.0,Female,82000.0,PhD,17,2000,6.2,Green
29.0,Male,47000.0,Bachelor,5,12000,7.2,Red
35.0,Female,63000.0,Master,10,3000,6.8,Blue
48.0,Male,87000.0,PhD,20,1000,6.0,Yellow
23.0,Female,29000.0,Bachelor,1,14000,8.0,Pink
33.0,Male,61000.0,Bachelor,8,13000,7.0,Purple
54.0,Female,100000.0,PhD,27,0,6.0,Black
27.0,Male,41000.0,Bachelor,4,11000,7.5,White
36.0,Female,68000.0,Master,11,5000,6.5,Blue
30.0,Male,52000.0,Bachelor,6,12000,7.0,Green
42.0,Female,80000.0,PhD,16,2000,6.2,Red
20.0,Male,18000.0,High School,0,0,9.0,Yellow
38.0,Female,70000.0,Master,13,4000,6.5,Blue
45.0,Male,86000.0,PhD,18,0,6.0,Pink
28.0,Male,43000.0,Bachelor,4,10000,7.5,Purple
31.0,Female,57000.0,Master,7,7000,7.0,Black
50.0,Female,93000.0,PhD,23,0,6.0,White
34.0,Male,64000.0,Bachelor,10,15000,6.8,Green
26.0,Female,37000.0,Bachelor,3,10000,7.8,Red
41.0,Male,77000.0,Master,16,3000,6.2,Blue
29.0,Female,48000.0,Master,5,9000,7.2,Yellow
37.0,Male,73000.0,Bachelor,12,6000,6.5,Pink
52.0,Male,97000.0,PhD,25,0,6.0,Black
24.0,Female,31000.0,Bachelor,1,12000,8.0,Purple
44.0,Male,85000.0,PhD,17,1000,6.2,White
33.0,Female,60000.0,Master,9,5000,6.8,Blue
30.0,Female,85000.0,PhD,2,5000,8.0,Green
