Age,Gender,Income,Education,Work_Experience,Debt_Amount,Sleep_Hours,Favorite_Color
25,Male,35000,Bachelor,2,10000,7.5,Blue
32,Female,55000,Master,6,5000,6,Red
28,,42000,Bachelor,4,12000,8,Green
45,Male,85000,PhD,15,0,6.5,Blue
23,Female,28000,Bachelor,1,15000,7,Yellow
50,Male,90000,Master,20,2000,5.5,Black
,Male,38000,Bachelor,3,8000,7.2,White
35,Female,60000,Master,8,0,6.8,Blue
25,Male,35000,Bachelor,2,10000,7.5,Blue
40,Male,120000,PhD,12,50000,6,Red
200,Female,45000,Bachelor,5,5000,18,Purple
29, female ,48000,Master,5,20000,7,Green
55,Male,95000,Master,25,0,6,Black
22,Male,22000,High School,0,0,9,Red
31,Female,58000,Bachelor,7,10000,7.5,Blue
25,Male,35000,Bachelor,2,10000,7.5,Blue
42,Male,"100,000",PhD,15,5000,6.2,White
30,Female,50000,Master,5,8000,7,Pink
33,Male,62000,Bachelor,9,15000,6.5,Green
27,Female,40000,Bachelor,3,12000,7.8,Yellow
36,Male,70000,Master,10,5000,6,Blue
24,Female,30000,Bachelor,1,8000,8.2,Red
58,Male,110000,PhD,30,0,5.5,Black
26,Male,36000,Bachelor,3,9000,7,White
30,Female,50000,Master,5,8000,7,Pink
-5,Male,0,None,-1,0,2,Unknown
48,Female,88000,PhD,20,2000,6.5,Purple
34,Male,65000,Bachelor,10,18000,7,Green
39,Female,72000,Master,14,5000,6.8,Blue
22,Male,25000,Bachelor,0,20000,8.5,Red
29,Female,48000,Master,5,10000,7.2,Yellow
45,Male,92000,PhD,18,0,6,Black
31,male,52000,Bachelor,6,12000,7.5,White
37,Female,68000,Master,12,6000,6.5,Pink
50,Male,90000,Master,20,2000,5.5,Black
,Female,44000,Bachelor,4,8000,7.8,Blue
41,Male,78000,Master,15,3000,6.2,Green
28,Female,41000,Bachelor,3,10000,7.5,Red
33,Male,60000,Bachelor,9,14000,7,Yellow
52,Female,98000,PhD,24,0,6,Purple
23,Male,26000,Bachelor,1,15000,8,Blue
47,Male,88000,Master,20,5000,6.5,Black
30,Female,55000,Master,6,8000,7,White
26,Male,38000,Bachelor,3,11000,7.5,Green
35,Female,64000,Master,10,2000,6.8,Pink
21,Male,20000,High School,0,0,9,Red
44,Male,84000,PhD,16,1000,6.2,Blue
29,Female,49000,Master,5,9000,7,Yellow
38,Male,72000,Bachelor,13,16000,6.5,Purple
25,Male,35000,Bachelor,2,10000,7.5,Blue
55,Female,105000,PhD,28,0,6,Black
27,Male,42000,Bachelor,4,12000,7.5,White
32,Female,56000,Master,7,6000,6.8,Green
46,Male,89000,PhD,19,2000,6.2,Red
24,Female,32000,Bachelor,2,13000,8,Blue
36,Male,69000,Master,11,7000,6.5,Yellow
,Male,,Bachelor,5,5000,7,Pink
40,Female,75000,Master,14,3000,6.5,Purple
53,Male,96000,PhD,26,0,6,Black
28,Male,45000,Bachelor,5,10000,7.2,White
34,Female,62000,Master,9,5000,6.8,Blue
31,Male,54000,Bachelor,7,12000,7.5,Green
49,Female,91000,PhD,22,1000,6.2,Red
22,Male,24000,Bachelor,0,18000,8.5,Yellow
39,Male,74000,Master,15,4000,6.5,Blue
30,Female,53000,Master,6,8000,7,Pink
26,Male,39000,Bachelor,3,11000,7.5,Purple
51,Female,94000,PhD,25,0,6,Black
37,Male,71000,Master,12,6000,6.5,White
25,Male,35000,Bachelor,2,10000,7.5,Blue
43,Female,82000,PhD,17,2000,6.2,Green
29,Male,47000,Bachelor,5,12000,7.2,Red
35,Female,63000,Master,10,3000,6.8,Blue
48,Male,87000,PhD,20,1000,6,Yellow
23,Female,29000,Bachelor,1,14000,8,Pink
33,Male,61000,Bachelor,8,13000,7,Purple
54,Female,100000,PhD,27,0,6,Black
27,Male,41000,Bachelor,4,11000,7.5,White
36,Female,68000,Master,11,5000,6.5,Blue
30,Male,52000,Bachelor,6,12000,7,Green
42,Female,80000,PhD,16,2000,6.2,Red
20,Male,18000,High School,0,0,9,Yellow
38,Female,70000,Master,13,4000,6.5,Blue
45,Male,86000,PhD,18,0,6,Pink
28,Male,43000,Bachelor,4,10000,7.5,Purple
31,Female,57000,Master,7,7000,7,Black
25,Male,35000,Bachelor,2,10000,7.5,Blue
50,Female,93000,PhD,23,0,6,White
34,Male,64000,Bachelor,10,15000,6.8,Green
26,Female,37000,Bachelor,3,10000,7.8,Red
41,Male,77000,Master,16,3000,6.2,Blue
29,Female,48000,Master,5,9000,7.2,Yellow
37,Male,73000,Bachelor,12,6000,6.5,Pink
52,Male,97000,PhD,25,0,6,Black
24,Female,31000,Bachelor,1,12000,8,Purple
44,Male,85000,PhD,17,1000,6.2,White
33,Female,60000,Master,9,5000,6.8,Blue
30, Male ,52000,Bachelor,6,12000,7,Green
120,Alien,999999,Universe,100,0,24,Galaxy
30,Female,85000,PhD,2,5000,8,Green
