SquareMeters,Bedrooms,HouseAge,DistanceToBTS,Price
132.0,4,19,4.51,4266000
209.0,1,16,3.2,6857000
122.0,5,29,1.76,4377000
44.0,5,16,1.81,2335000
136.0,2,25,3.66,3783000
101.0,5,19,4.5,3884000
218.0,2,11,4.45,6781000
50.0,1,29,3.92,1031000
132.0,4,6,3.25,5324000
151.0,4,1,0.51,6483000
240.0,4,2,0.89,9865000
,5,16,4.5,8310000
104.0,1,4,3.07,3398000
232.0,5,16,0.15,8686000
117.0,5,23,0.6,4541000
146.0,1,16,3.35,4866000
129.0,1,26,0.12,4008000
133.0,1,16,0.89,4678000
181.0,1,1,2.79,6673000
160.0,4,1,3.49,6612000
179.0,3,27,3.29,5102000
82.0,3,21,1.2,3170000
31.0,1,22,3.59,670000
117.0,3,4,1.26,4962000
,3,0,1.69,7902000
67.0,1,0,3.76,3079000
159.0,3,18,3.28,4936000
221.0,5,29,4.26,7103000
217.0,2,1,3.32,8333000
50.0,2,20,2.88,2134000
190.0,1,11,0.56,6282000
233.0,4,25,1.9,7515000
87.0,1,5,1.4,4160000
51.0,4,22,1.3,2258000
118.0,2,3,4.87,4449000
78.0,1,22,2.03,2766000
248.0,5,10,4.47,8268000
88.0,3,23,3.19,2934000
199.0,4,26,3.99,5200000
249.0,3,16,2.56,7951000
217.0,3,5,2.93,7698000
237.0,1,23,2.51,6784000
44.0,3,4,1.06,3498000
219.0,5,19,3.64,6963000
219.0,3,1,1.48,8192000
204.0,1,5,0.22,7565000
219.0,5,21,3.26,7800000
80.0,2,10,0.97,3175000
137.0,3,15,4.71,4867000
84.0,1,15,4.77,2519000
93.0,2,0,4.58,3480000
,2,8,1.91,6057000
80.0,4,27,0.18,3374000
164.0,5,26,4.65,5010000
50.0,3,5,2.2,2931000
102.0,1,15,4.84,2926000
196.0,4,28,4.82,5850000
47.0,5,2,4.28,3153000
161.0,4,19,1.54,6348000
118.0,5,27,1.99,3921000
89.0,5,26,4.27,3656000
43.0,3,3,1.65,2324000
38.0,5,18,0.93,2508000
119.0,4,25,2.83,4230000
82.0,5,2,4.69,4006000
159.0,3,18,3.51,5081000
113.0,3,19,2.89,3900000
121.0,4,6,0.58,5366000
140.0,2,19,3.11,4351000
217.0,2,8,4.95,7275000
228.0,5,0,0.79,9289000
201.0,1,7,2.64,6644000
37.0,5,6,4.4,2700000
204.0,4,17,3.73,6916000
64.0,4,7,3.52,3410000
235.0,4,0,3.54,8831000
110.0,4,10,1.86,4479000
193.0,4,27,1.54,6264000
79.0,3,24,4.07,2680000
133.0,2,24,4.07,4059000
161.0,4,17,4.35,5404000
31.0,1,22,4.57,651000
163.0,1,29,2.61,5001000
83.0,1,9,2.56,3051000
,1,2,4.01,5012000
33.0,3,6,3.28,2073000
83.0,1,27,3.54,2067000
220.0,4,15,4.0,7680000
175.0,5,25,4.46,5856000
247.0,1,15,1.76,8252000
73.0,3,24,1.94,3094000
191.0,3,19,0.56,6774000
231.0,1,27,2.93,6899000
219.0,5,16,0.28,8121000
43.0,1,1,2.38,2561000
124.0,3,0,2.76,5229000
77.0,2,15,1.5,3189000
44.0,4,29,3.0,1749000
,3,11,0.25,8125000
235.0,1,4,0.28,9122000
