CustomerID,Recency,Frequency,Monetary
C001,5,25,15000
C002,3,22,14200
C003,350,1,500
C004,15,5,1200
C005,8,20,13500
C006,360,2,800
C007,10,4,1500
C008,340,1,300
C009,4,28,16000
C010,12,6,1100
C011,2,24,14800
C012,355,1,450
C013,14,5,1300
C014,6,26,15500
C015,365,1,200
C016,19,16,10393
C017,4,18,13433
C018,26,18,12513
C019,21,11,14555
C020,28,24,12099
C021,7,21,5775
C022,15,12,8152
C023,4,11,8943
C024,4,11,6021
C025,6,15,8843
C026,22,22,11873
C027,12,11,9297
C028,4,23,12629
C029,23,21,6016
C030,8,14,11863
C031,13,11,5878
C032,21,17,9859
C033,28,21,13684
C034,9,22,7062
C035,13,10,13006
C036,9,17,7027
C037,8,17,10258
C038,19,10,5391
C039,3,12,10892
C040,10,16,11184
C041,28,16,13392
C042,8,21,8104
C043,16,16,7454
C044,24,14,7731
C045,8,15,13154
C046,3,10,13110
C047,14,12,8840
C048,5,19,5502
C049,14,16,11938
C050,9,24,10134
C051,26,19,12035
C052,13,12,5863
C053,7,10,13755
C054,29,13,6757
C055,5,16,11374
C056,13,24,8242
C057,29,13,11668
C058,7,20,8157
C059,28,11,14789
C060,25,14,7693
C061,28,21,8627
C062,20,23,10450
C063,26,16,10592
C064,7,23,12392
C065,1,18,6306
C066,25,13,10864
C067,3,16,13901
C068,8,20,9413
C069,5,10,5663
C070,15,20,6495
C071,9,13,10232
C072,17,19,6291
C073,7,11,12554
C074,17,14,8696
C075,24,10,5698
C076,17,11,9737
C077,28,15,5854
C078,5,10,11528
C079,19,23,10249
C080,21,21,10791
C081,6,16,9931
C082,23,20,9218
C083,17,24,9389
C084,24,14,7931
C085,2,15,12125
C086,11,24,11287
C087,1,18,14339
C088,27,15,7511
C089,29,12,5659
C090,28,20,11546
C091,26,12,13338
C092,20,16,6843
C093,9,10,6959
C094,7,11,9736
C095,11,21,13120
C096,25,11,10534
C097,10,12,5262
C098,28,19,13815
C099,25,13,7049
C100,1,23,9548
C101,46,11,2556
C102,50,7,2182
C103,57,7,903
C104,33,10,2196
C105,33,8,1086
C106,58,12,1943
C107,47,12,753
C108,44,13,598
C109,34,6,2419
C110,55,6,1456
C111,50,8,660
C112,13,5,897
C113,30,8,2027
C114,17,11,1718
C115,26,5,959
C116,31,11,1545
C117,55,10,2777
C118,54,7,2985
C119,17,6,1297
C120,42,5,952
C121,57,7,1046
C122,58,5,1743
C123,39,9,2646
C124,50,9,2827
C125,38,5,801
C126,40,7,1199
C127,42,8,690
C128,30,11,1684
C129,12,6,2316
C130,51,10,1069
C131,12,12,1125
C132,41,10,2186
C133,11,14,1909
C134,35,5,745
C135,57,11,2000
C136,51,11,1037
C137,44,6,1420
C138,33,14,535
C139,54,8,2868
C140,17,7,1666
C141,37,6,1333
C142,41,11,2482
C143,31,7,1074
C144,31,14,2852
C145,51,10,1577
C146,52,9,2811
C147,53,9,1626
C148,13,10,1376
C149,41,8,546
C150,44,11,768
C151,59,14,2193
C152,28,5,619
C153,28,14,2474
C154,35,9,616
C155,32,13,2431
C156,10,14,1133
C157,10,6,1619
C158,57,13,987
C159,54,9,1396
C160,25,11,1203
C161,14,10,2794
C162,12,14,2179
C163,46,10,1743
C164,14,5,2641
C165,55,8,952
C166,21,14,2979
C167,30,11,2135
C168,42,9,2570
C169,19,10,2989
C170,41,5,1515
C171,14,8,835
C172,11,5,1395
C173,41,8,2187
C174,21,6,2927
C175,42,5,1456
C176,52,9,1791
C177,12,5,1940
C178,49,14,1566
C179,53,6,1253
C180,44,11,589
C181,17,14,2125
C182,43,7,1116
C183,16,8,1325
C184,59,12,1228
C185,30,13,1175
C186,19,9,2739
C187,44,5,1622
C188,57,8,1477
C189,58,11,2643
C190,33,11,536
C191,21,5,2048
C192,32,13,1372
C193,39,5,2609
C194,29,13,1865
C195,22,7,2724
C196,45,13,575
C197,18,11,2319
C198,23,8,1350
C199,56,9,895
C200,34,8,1992
C201,112,3,1267
C202,116,3,208
C203,240,2,1309
C204,282,2,1256
C205,222,3,832
C206,294,3,757
C207,298,4,1132
C208,133,2,591
C209,312,2,1642
C210,233,1,1291
C211,229,1,1045
C212,342,2,1317
C213,64,1,1288
C214,195,4,1488
C215,204,3,1450
C216,276,1,1255
C217,351,2,1375
C218,334,1,975
C219,241,3,190
C220,261,2,1654
C221,98,2,1574
C222,232,1,853
C223,279,2,1181
C224,207,4,555
C225,60,3,447
C226,249,1,1314
C227,176,2,157
C228,103,1,771
C229,232,1,914
C230,208,4,985
C231,272,3,863
C232,288,4,1350
C233,206,4,1564
C234,106,1,1428
C235,73,3,1538
C236,60,1,1689
C237,318,4,570
C238,71,2,835
C239,331,4,457
C240,215,1,1131
C241,181,4,775
C242,149,4,797
C243,237,4,831
C244,100,4,1827
C245,204,1,1028
C246,271,1,831
C247,299,1,1008
C248,105,3,1376
C249,141,3,355
C250,256,3,549
C251,69,4,897
C252,301,3,976
C253,64,3,1115
C254,348,2,1188
C255,205,4,1362
C256,236,3,952
C257,341,3,1340
C258,342,1,1584
C259,157,1,1222
C260,65,4,808
C261,192,2,870
C262,82,1,1688
C263,224,2,1581
C264,142,1,1208
C265,137,1,100
C266,110,1,816
C267,319,2,548
C268,347,2,1471
C269,154,4,1674
C270,213,2,773
C271,177,3,1429
C272,327,1,1177
C273,295,1,1089
C274,281,3,1948
C275,171,3,1426
C276,266,1,952
C277,125,3,534
C278,162,2,1827
C279,311,2,905
C280,157,2,897
C281,308,2,1604
C282,89,3,1229
C283,110,1,232
C284,344,4,237
C285,243,1,1453
C286,332,4,1975
C287,128,2,1897
C288,112,2,304
C289,185,3,142
C290,299,3,210
C291,308,3,1306
C292,154,3,1497
C293,67,4,459
C294,243,1,1318
C295,254,3,192
C296,219,2,160
C297,181,3,1526
C298,336,1,1589
C299,151,2,1952
C300,81,1,937
